      2,929048843188   -1,5803503598787900
      3,082005141388   -2,2161023333088300
      1,513110539846   -4,3456253455353900
      2,605655526992   -2,8391508561578500
      2,819794344473   -1,6395473621622200
      2,950899742931   -1,6197265808788200
      2,011311053985   -7,4814793880080700
      1,770951156812   -6,9289374644427400
      1,565552699229   -4,9929537294551200
      2,037532133676   -7,4200697104271500
      2,173007712082   -6,7646595585723000
      2,098714652956   -7,1906554451163500
      2,675578406170   -2,3145443826601200
      2,177377892031   -6,7350887941374900
      2,688688946015   -2,2287658183808800
      1,735989717224   -6,6833984788442400
      2,085604113111   -7,2495913280405100
      2,382776349614   -4,9518919145407800
      1,714138817481   -6,5105094568031300
      2,360925449871   -5,1661882215422000
      2,120565552699   -7,0811694001983600
      2,081233933162   -7,2680812115705500
      1,609254498715   -5,4941160501886400
      2,286632390746   -5,8639654761263600
      1,932647814910   -7,5244771149971200
      3,191259640103   -3,1529600594063000
      2,190488431877   -6,6436305402025700
      2,548843187661   -3,3337892548963000
      2,518251928021   -3,6188359397467400
      1,539331619537   -4,6748055552897600
      2,374035989717   -5,0379298764589300
      2,618766066838   -2,7329163184191900
      1,500000000000   -4,1774475949406700
      2,933419023136   -1,5868398840751600
      2,295372750643   -5,7852090226692000
      2,990231362468   -1,7342557155191200
      1,604884318766   -5,4458036727949700
      2,487660668380   -3,9132325076519200
      2,076863753213   -7,2859856240278200
      1,543701799486   -4,7286430820771200
      2,247300771208   -6,2037968035286200
      2,321593830334   -5,5429917064049600
      2,522622107969   -3,5774732192917200
      3,165038560411   -2,8951806465028200
      2,859125964010   -1,5698995766632600
      3,060154241645   -2,0747466616634100
      2,212339331620   -6,4824535575159100
      2,776092544987   -1,7776221693962800
      1,596143958869   -5,3479256653914700
      1,993830334190   -7,5095646909847200
      1,661696658098   -6,0386158401589500
      2,570694087404   -3,1375367741023800
      2,610025706941   -2,8033728694477400
      2,942159383033   -1,6018968499296500
      2,072493573265   -7,3033000583957600
      2,194858611825   -6,6122514684826900
      2,754241645244   -1,8694498607586700
      3,025192802057   -1,8828702155614400
      2,055012853470   -7,3665714846346200
      2,614395886889   -2,7679588028578800
      2,116195372751   -7,1041687410390500
      2,417737789203   -4,6050279449875300
      2,234190231362   -6,3111061387734300
      1,517480719794   -4,4011806834783900
      2,588174807198   -2,9857466411879700
      2,478920308483   -3,9986436834513400
      3,173778920308   -2,9789394653343600
      2,968380462725   -1,6637064335973200
      2,758611825193   -1,8499107427837500
      2,566323907455   -3,1762355561846600
      1,600514138817   -5,3970711784092000
      2,492030848329   -3,8707167507231000
      1,731619537275   -6,6499903019294500
      1,644215938303   -5,8646639349625400
      1,552442159383   -4,8353663909020300
      2,658097686375   -2,4354873004861500
      2,439588688946   -4,3874932177585200
      1,530591259640   -4,5662187423473700
      2,299742930591   -5,7454381489470100
      1,867095115681   -7,3935097568545900
      2,221079691517   -6,4150844849444000
      2,277892030848   -5,9416198954612000
      3,007712082262   -1,8030953967640200
      1,915167095116   -7,5044966214800800
      2,719280205656   -2,0460969833834700
      2,601285347044   -2,8752850395181700
      2,771722365039   -1,7948045869870200
      2,924678663239   -1,5745527970701400
      2,959640102828   -1,6403300734219300
      1,548071979434   -4,7821660078546200
      1,631105398458   -5,7291329676807300
      2,216709511568   -6,4489688891380900
      1,832133676093   -7,2614460834221400
      2,846015424165   -1,5872067222835700
      2,273521850900   -5,9800134086427400
      2,592544987147   -2,9485908030962300
      2,863496143959   -1,5654620339674800
      2,339074550129   -5,3772331083207000
      1,849614395887   -7,3328412129247000
      1,766580976864   -6,9003947219233700
      2,304113110540   -5,7054165988126300
      2,356555269923   -5,2086925864266300
      2,697429305913   -2,1740252798159400
      1,875835475578   -7,4197955015159800
      1,823393316195   -7,2217591032932700
      1,985089974293   -7,5196855765386100
      3,086375321337   -2,2463101958867700
      2,841645244216   -1,5942985230817500
      2,872236503856   -1,5585987730344200
      2,164267352185   -6,8223887473096600
      2,461439588689   -4,1707356076115400
      3,077634961440   -2,1865356314090600
      2,623136246787   -2,6982530154053400
      1,635475578406   -5,7747797898884500
      1,784061696658   -7,0107996592171000
      2,513881748072   -3,6603896008365800
      2,811053984576   -1,6621555247608200
      3,134447300771   -2,6198345387636300
      1,613624678663   -5,5420012859573500
      2,828534704370   -1,6195022673320300
      2,902827763496   -1,5559173339706900
      1,906426735219   -7,4904311024028400
      1,805912596401   -7,1344886180755900
      2,500771208226   -3,7861091527397400
      2,264781491003   -6,0558926192610100
      2,103084832905   -7,1698707737386400
      2,024421593830   -7,4536355346232200
      2,146786632391   -6,9320198569300100
      2,964010282776   -1,6516717747672200
      3,121336760925   -2,5106118443641300
      2,426478149100   -4,5179928154369300
      2,780462724936   -1,7610406011957300
      2,334704370180   -5,4189552648709300
      1,919537275064   -7,5105099977864800
      2,203598971722   -6,5481948621061500
      2,443958868895   -4,3440435329238000
      2,186118251928   -6,6745676244317300
      2,745501285347   -1,9102540285697000
      1,556812339332   -4,8882363464917700
      2,068123393316   -7,3200201103487600
      1,792802056555   -7,0622028337735300
      2,797943444730   -1,7008106031653600
      1,578663239075   -5,1473579061399600
      2,557583547558   -3,2544772867850500
      1,762210796915   -6,8712301701982700
      1,775321336761   -6,9568548254850900
      2,159897172237   -6,8505343379448700
      1,648586118252   -5,9088883897315900
      1,880205655527   -7,4319228099951500
      3,099485861183   -2,3407451727345800
      2,343444730077   -5,3353370426811000
      3,147557840617   -2,7343855246221100
      3,108226221080   -2,4068405171118300
      2,824164524422   -1,6292027150753900
      2,985861182519   -1,7187647335024400
      2,920308483290   -1,5694465399262400
      1,923907455013   -7,5158442089070100
      3,047043701799   -1,9977924160173900
      2,142416452442   -6,9581775462441000
      2,238560411311   -6,2756964109645700
      2,430848329049   -4,4744768634561600
      3,038303341902   -1,9498110847048500
      2,880976863753   -1,5544326067360500
      2,242930591260   -6,2399240910320700
      2,207969151671   -6,5155312661026700
      2,496401028278   -3,8283393562677700
      1,587403598972   -5,2484243382205400
      2,033161953728   -7,4318887123636000
      1,958868894602   -7,5341485442232800
      1,871465295630   -7,4069908725876900
      2,636246786632   -2,5966132189143800
      2,483290488432   -3,9558777759632000
      1,639845758355   -5,8199589374974800
      2,041902313625   -7,4076248756288100
      3,112596401028   -2,4408179964757100
      1,893316195373   -7,4642342438460800
      1,753470437018   -6,8110504690974900
      1,757840616967   -6,8414474898410900
      2,063753213368   -7,3361414790108500
      2,854755784062   -1,5750045664699100
      3,020822622108   -1,8619069750764800
      2,701799485861   -2,1474075866010900
      1,679177377892   -6,2044853315282400
      3,156298200514   -2,8136485319774400
      1,840874035990   -7,2984783253054800
      2,387146529563   -4,9087399098901500
      1,910796915167   -7,4978037327240100
      1,853984575835   -7,3490175890075400
      2,282262210797   -5,9029345392201500
      1,801542416452   -7,1110397298424300
